p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,no_lut_runs,total_runs,elapsed_sec
1e-05,1,1,1600,2207446,1600,7.0372581e-07,2271403754,2273612800,83435.218
2e-05,1,1,1600,1105339,1600,2.8059621e-06,569107461,570214400,25127.534
3e-05,1,1,1600,725129,1600,6.399099e-06,249308471,250035200,10880.230
4e-05,1,1,1600,534347,1600,1.1578362e-05,137652853,138188800,5986.518
5e-05,1,1,1600,455510,1602,1.6954247e-05,94032488,94489600,4071.141
6e-05,1,1,1600,370683,1600,2.4900398e-05,63883717,64256000,2770.565
7e-05,1,1,1600,303494,1600,3.5511364e-05,44750906,45056000,1930.701
8e-05,1,1,1600,274798,1601,4.4766688e-05,35486801,35763200,1519.222
9e-05,1,1,1600,251024,1600,5.5212014e-05,28726576,28979200,1288.551
0.0001,1,1,1600,215789,1601,7.1067116e-05,22310610,22528000,964.661
